                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.105,                0.90899,                 1.1724,                0.79727,                0.64672,                0.74329,                0.51385,                 1.0019,                 0.7471,                 1.0871,               0.008878,               0.008878,               0.008878
                     37,                 1.1053,                 0.9092,                 1.1739,                0.79362,                0.64948,                0.74375,                0.51457,                 1.0012,                0.74687,                 1.0865,               0.008845,               0.008845,               0.008845
                     38,                 1.1029,                0.90574,                 1.1733,                0.79865,                0.64714,                0.74426,                0.51513,                0.99982,                0.74674,                 1.0855,               0.008812,               0.008812,               0.008812
                     39,                 1.1044,                0.90602,                 1.1733,                0.79951,                0.64649,                0.74494,                0.51536,                 0.9994,                0.74583,                 1.0852,               0.008779,               0.008779,               0.008779
                     40,                 1.1039,                0.90682,                 1.1734,                0.79917,                0.64617,                0.74529,                0.51591,                0.99855,                0.74508,                 1.0847,               0.008746,               0.008746,               0.008746
                     41,                 1.0996,                0.90284,                 1.1712,                0.79673,                0.64722,                0.74536,                0.51608,                0.99823,                 0.7448,                 1.0844,               0.008713,               0.008713,               0.008713
                     42,                 1.1029,                0.90241,                 1.1706,                0.79741,                0.64766,                0.74593,                0.51696,                0.99787,                0.74435,                 1.0838,                0.00868,                0.00868,                0.00868
                     43,                 1.1029,                0.90525,                   1.17,                0.79762,                0.64812,                0.74621,                 0.5169,                 0.9982,                0.74392,                 1.0837,               0.008647,               0.008647,               0.008647
                     44,                 1.0984,                0.89914,                 1.1701,                0.79711,                0.64827,                0.74666,                0.51705,                0.99763,                 0.7431,                 1.0836,               0.008614,               0.008614,               0.008614
                     45,                 1.0992,                0.90164,                 1.1693,                 0.7981,                0.64863,                0.74692,                0.51759,                0.99727,                0.74157,                 1.0835,               0.008581,               0.008581,               0.008581
                     46,                 1.0977,                0.89986,                 1.1684,                 0.7992,                0.64986,                0.74768,                0.51788,                0.99663,                0.74053,                 1.0835,               0.008548,               0.008548,               0.008548
                     47,                 1.0983,                0.90046,                 1.1684,                 0.7991,                0.65046,                0.74786,                0.51829,                0.99679,                0.73999,                 1.0836,               0.008515,               0.008515,               0.008515
                     48,                 1.0959,                0.89506,                 1.1654,                0.79376,                0.65251,                0.74773,                0.51802,                0.99627,                0.73971,                  1.083,               0.008482,               0.008482,               0.008482
                     49,                 1.0975,                0.89868,                 1.1675,                0.79786,                 0.6508,                0.74731,                0.51863,                0.99655,                0.73922,                 1.0831,               0.008449,               0.008449,               0.008449
                     50,                 1.0974,                0.89717,                  1.168,                0.79099,                0.65553,                 0.7482,                0.51901,                 0.9955,                0.73917,                 1.0824,               0.008416,               0.008416,               0.008416
                     51,                  1.099,                 0.8992,                 1.1674,                0.79642,                0.65327,                0.74758,                0.51902,                0.99518,                 0.7389,                 1.0825,               0.008383,               0.008383,               0.008383
                     52,                 1.0966,                0.89543,                 1.1674,                0.79402,                0.65338,                0.74755,                  0.519,                0.99519,                0.73856,                  1.082,                0.00835,                0.00835,                0.00835
                     53,                 1.0962,                0.89762,                 1.1678,                0.79449,                0.65343,                0.74768,                0.51901,                0.99471,                0.73858,                 1.0817,               0.008317,               0.008317,               0.008317
                     54,                 1.0951,                0.89693,                 1.1668,                0.79361,                  0.653,                0.74835,                 0.5194,                0.99496,                0.73872,                 1.0813,               0.008284,               0.008284,               0.008284
                     55,                 1.0946,                0.89433,                 1.1671,                0.79893,                0.65335,                 0.7486,                0.51962,                0.99486,                0.73797,                 1.0816,               0.008251,               0.008251,               0.008251
                     56,                 1.0922,                0.89295,                 1.1636,                0.79285,                0.65735,                0.74879,                0.51987,                0.99475,                0.73738,                 1.0814,               0.008218,               0.008218,               0.008218
                     57,                 1.0952,                0.89549,                 1.1668,                0.79416,                0.65488,                 0.7493,                0.52047,                0.99482,                0.73641,                 1.0814,               0.008185,               0.008185,               0.008185
                     58,                 1.0939,                0.89444,                 1.1651,                0.79497,                 0.6553,                0.74973,                0.52097,                0.99429,                0.73636,                 1.0811,               0.008152,               0.008152,               0.008152
                     59,                  1.092,                0.89003,                 1.1643,                0.79794,                0.65478,                0.74948,                 0.5211,                0.99388,                0.73549,                 1.0808,               0.008119,               0.008119,               0.008119
                     60,                 1.0896,                0.89149,                 1.1628,                0.79384,                0.65739,                0.74929,                0.52117,                0.99314,                0.73494,                 1.0801,               0.008086,               0.008086,               0.008086
                     61,                 1.0911,                0.89031,                 1.1628,                0.79375,                0.65928,                 0.7492,                0.52123,                0.99262,                0.73416,                 1.0797,               0.008053,               0.008053,               0.008053
                     62,                 1.0906,                0.88889,                 1.1636,                0.79472,                0.65811,                0.74832,                0.52157,                0.99239,                0.73348,                 1.0795,                0.00802,                0.00802,                0.00802
