               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048247,            0.045432,           0.0043357,             0.76469,             0.57406,              0.6592,             0.39059,            0.043815,            0.030503,           0.0025057,            0.008845,            0.008845,            0.008845
                  37,            0.048265,            0.045683,           0.0043525,             0.76622,              0.5737,             0.65951,             0.39082,            0.043803,            0.030492,           0.0025035,            0.008812,            0.008812,            0.008812
                  38,            0.048176,            0.045802,           0.0043202,             0.76539,             0.57377,              0.6601,             0.39128,            0.043795,            0.030489,           0.0025036,            0.008779,            0.008779,            0.008779
                  39,            0.048103,            0.045565,           0.0043117,             0.76596,             0.57472,             0.66095,              0.3917,            0.043782,             0.03048,           0.0025015,            0.008746,            0.008746,            0.008746
                  40,            0.048119,            0.045534,           0.0043409,             0.76656,             0.57294,             0.66056,             0.39167,            0.043772,            0.030474,           0.0024997,            0.008713,            0.008713,            0.008713
                  41,            0.048082,            0.045559,           0.0043258,             0.76485,             0.57331,             0.66038,             0.39195,            0.043761,            0.030472,           0.0025011,             0.00868,             0.00868,             0.00868
                  42,            0.047968,              0.0455,           0.0043251,             0.76478,             0.57313,             0.66035,             0.39179,            0.043754,            0.030462,           0.0025021,            0.008647,            0.008647,            0.008647
                  43,            0.048056,            0.045429,           0.0042857,             0.76383,             0.57289,             0.65942,             0.39186,            0.043747,            0.030462,           0.0025042,            0.008614,            0.008614,            0.008614
                  44,            0.048097,            0.045559,           0.0042902,             0.76347,              0.5725,             0.65979,               0.392,            0.043736,            0.030455,           0.0025047,            0.008581,            0.008581,            0.008581
                  45,            0.047904,            0.045524,           0.0042967,             0.76112,             0.57521,             0.65977,             0.39172,            0.043727,            0.030446,           0.0025053,            0.008548,            0.008548,            0.008548
                  46,            0.047937,            0.045577,           0.0042682,             0.75999,             0.57633,              0.6606,             0.39209,            0.043718,            0.030441,           0.0025049,            0.008515,            0.008515,            0.008515
                  47,            0.047933,            0.045353,           0.0043121,             0.76155,             0.57581,             0.66076,             0.39216,            0.043714,            0.030436,            0.002505,            0.008482,            0.008482,            0.008482
                  48,            0.047897,            0.045174,           0.0042774,             0.75745,             0.57694,             0.66054,             0.39213,            0.043708,            0.030424,           0.0025042,            0.008449,            0.008449,            0.008449
