                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8951,                0.49631,                 1.0116,                0.95478,                0.96037,                0.97595,                0.71104,                 1.2804,                0.57118,                 1.3899,                0.00148,                0.00148,                0.00148
                     37,                0.89063,                0.48002,                   1.02,                0.94487,                 0.9335,                 0.9659,                0.70442,                 1.3155,                0.62389,                 1.4234,              0.0014745,              0.0014745,              0.0014745
                     38,                0.88423,                0.47156,                 1.0156,                0.92974,                0.94056,                0.96059,                0.65326,                 1.5112,                0.63357,                  1.504,               0.001469,               0.001469,               0.001469
                     39,                0.90246,                0.46695,                 1.0182,                0.93613,                 0.8872,                0.94274,                0.68173,                 1.4501,                 0.6557,                  1.548,              0.0014635,              0.0014635,              0.0014635
                     40,                0.90848,                0.46444,                 1.0265,                0.92892,                0.94512,                 0.9642,                0.70457,                 1.3522,                0.57841,                 1.4521,               0.001458,               0.001458,               0.001458
                     41,                0.85189,                 0.4463,                 0.9985,                 0.9496,                0.90549,                0.94975,                0.69223,                 1.3466,                0.58158,                 1.4204,              0.0014525,              0.0014525,              0.0014525
                     42,                0.86221,                 0.4552,                  1.005,                0.94637,                0.93734,                0.96421,                0.70797,                  1.363,                0.57123,                 1.4502,               0.001447,               0.001447,               0.001447
                     43,                0.88609,                0.45929,                 1.0134,                0.95959,                0.95516,                0.97027,                0.72855,                 1.2543,                0.58439,                 1.3757,              0.0014415,              0.0014415,              0.0014415
                     44,                0.84558,                0.45212,                0.99377,                0.95683,                 0.9485,                0.98572,                0.69803,                  1.225,                0.56071,                 1.3072,               0.001436,               0.001436,               0.001436
                     45,                0.87116,                0.45524,                 1.0043,                0.95897,                0.95162,                0.97332,                0.74872,                 1.1938,                0.51737,                 1.3095,              0.0014305,              0.0014305,              0.0014305
                     46,                0.85483,                0.45235,                 1.0152,                0.95914,                0.93983,                0.95317,                   0.71,                 1.3184,                 0.5311,                 1.4193,               0.001425,               0.001425,               0.001425
                     47,                 0.8608,                0.44587,                 1.0089,                0.96149,                0.94463,                0.96785,                0.73067,                 1.2944,                0.55992,                  1.448,              0.0014195,              0.0014195,              0.0014195
                     48,                 0.8351,                0.44333,                 1.0001,                 0.9691,                0.95874,                0.97122,                0.72184,                 1.3084,                0.54418,                 1.4029,              0.0014139,              0.0014139,              0.0014139
                     49,                0.85885,                0.44745,                 1.0026,                0.95476,                0.96811,                0.97699,                0.66498,                 1.4218,                0.59772,                 1.5073,              0.0014084,              0.0014084,              0.0014084
                     50,                0.86014,                0.44298,                0.99979,                0.97452,                0.93991,                0.97398,                0.70735,                 1.3143,                0.51351,                 1.3949,              0.0014029,              0.0014029,              0.0014029
