               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043671,            0.017661,            0.074553,            0.018154,             0.88233,             0.10086,            0.069896,            0.039579,           0.0051159,            0.055628,            0.008845,            0.008845,            0.008845
                  37,            0.041944,            0.017464,             0.07566,             0.38948,             0.16197,             0.11209,            0.067738,            0.035681,           0.0047329,            0.056312,            0.008812,            0.008812,            0.008812
                  38,            0.038711,            0.016991,            0.071152,             0.71825,             0.10527,             0.13143,            0.088455,            0.037344,           0.0054224,            0.056679,            0.008779,            0.008779,            0.008779
                  39,            0.041036,            0.017694,            0.069338,             0.12919,             0.44079,             0.16825,              0.1011,            0.034545,           0.0045869,            0.058991,            0.008746,            0.008746,            0.008746
                  40,             0.03664,            0.016519,            0.068928,             0.70074,            0.096034,             0.21903,             0.15296,            0.032386,           0.0044116,            0.055414,            0.008713,            0.008713,            0.008713
                  41,            0.037258,             0.01663,            0.072744,              0.5212,             0.23348,             0.21253,             0.14471,            0.032766,           0.0043375,            0.055223,             0.00868,             0.00868,             0.00868
                  42,            0.038481,            0.016498,            0.071883,             0.49399,             0.17469,             0.19985,             0.12762,            0.032085,           0.0042709,            0.055606,            0.008647,            0.008647,            0.008647
                  43,             0.03701,            0.016134,            0.072479,             0.36868,             0.18956,             0.18819,              0.1142,            0.030741,           0.0045863,            0.056335,            0.008614,            0.008614,            0.008614
                  44,            0.039563,            0.016603,            0.074526,             0.45342,             0.21181,             0.22224,             0.14538,            0.031367,           0.0040308,            0.054224,            0.008581,            0.008581,            0.008581
                  45,            0.041562,             0.01632,            0.069797,             0.43129,             0.25647,              0.2176,             0.14618,            0.029275,           0.0042043,            0.053251,            0.008548,            0.008548,            0.008548
                  46,            0.035905,            0.015938,            0.074078,             0.41489,             0.29804,             0.22445,             0.14201,             0.03571,           0.0044887,            0.056153,            0.008515,            0.008515,            0.008515
                  47,            0.042482,            0.017431,            0.068817,             0.32847,              0.1777,              0.1708,             0.10627,            0.035485,           0.0050583,            0.061932,            0.008482,            0.008482,            0.008482
                  48,            0.040252,            0.017248,             0.07329,             0.29846,             0.23197,             0.18624,             0.12291,            0.033963,           0.0047523,            0.060174,            0.008449,            0.008449,            0.008449
                  49,            0.037081,            0.016703,            0.071972,             0.42679,               0.253,             0.20737,             0.12093,            0.035423,           0.0044339,            0.061614,            0.008416,            0.008416,            0.008416
                  50,            0.040711,            0.016885,            0.064826,             0.42325,             0.29123,             0.26934,             0.17186,            0.032899,           0.0042642,            0.054033,            0.008383,            0.008383,            0.008383
                  51,             0.03432,            0.016077,            0.067748,             0.45321,             0.25687,              0.2635,             0.17265,            0.031039,           0.0040501,             0.05365,             0.00835,             0.00835,             0.00835
                  52,            0.041391,            0.016516,            0.065578,             0.27787,              0.2615,             0.22738,             0.14746,            0.032587,           0.0043201,            0.052464,            0.008317,            0.008317,            0.008317
                  53,            0.035214,            0.016223,            0.067529,             0.35858,             0.31806,             0.28719,             0.17992,            0.033654,           0.0041972,            0.053268,            0.008284,            0.008284,            0.008284
                  54,            0.039553,            0.016047,            0.068036,             0.50239,              0.3307,             0.29324,             0.19244,            0.033459,           0.0042662,            0.049714,            0.008251,            0.008251,            0.008251
                  55,            0.037972,            0.015688,            0.064479,             0.43586,             0.37751,             0.34693,             0.22557,            0.036573,           0.0043868,            0.048482,            0.008218,            0.008218,            0.008218
                  56,            0.044108,            0.016533,            0.064498,             0.31872,             0.40908,             0.35146,             0.23895,            0.032927,           0.0042008,            0.052256,            0.008185,            0.008185,            0.008185
                  57,            0.039558,            0.016469,            0.064824,             0.28577,             0.40626,             0.33688,             0.21263,            0.029597,           0.0041476,            0.047908,            0.008152,            0.008152,            0.008152
                  58,             0.03692,            0.016195,            0.062273,             0.31116,             0.31769,             0.28989,             0.20392,            0.029799,           0.0043556,            0.052347,            0.008119,            0.008119,            0.008119
                  59,            0.038775,            0.016115,            0.063544,             0.34088,             0.38757,             0.32176,             0.21378,            0.031634,           0.0040323,            0.052502,            0.008086,            0.008086,            0.008086
                  60,            0.038531,            0.015952,            0.063471,             0.40891,             0.43989,             0.39767,             0.25921,            0.028246,           0.0039478,            0.048949,            0.008053,            0.008053,            0.008053
                  61,            0.041262,            0.016407,            0.065736,              0.4122,             0.40002,             0.39294,             0.27003,            0.032971,           0.0040526,            0.047882,             0.00802,             0.00802,             0.00802
                  62,            0.040578,             0.01614,            0.061649,             0.37648,             0.43517,             0.41688,              0.2928,            0.032565,           0.0039588,            0.049772,            0.007987,            0.007987,            0.007987
                  63,            0.038635,            0.015944,            0.060309,             0.34522,              0.5222,             0.43039,             0.29876,            0.032561,           0.0040023,            0.047013,            0.007954,            0.007954,            0.007954
                  64,             0.03587,            0.015829,            0.064778,             0.35066,             0.47278,             0.43232,             0.30406,            0.030271,           0.0040752,            0.050349,            0.007921,            0.007921,            0.007921
                  65,            0.037684,            0.015224,            0.063857,             0.44097,             0.44684,             0.46818,             0.32177,            0.031169,           0.0040487,            0.048158,            0.007888,            0.007888,            0.007888
                  66,            0.034614,            0.015694,             0.06324,             0.35345,             0.43244,              0.4732,             0.30572,            0.030759,           0.0040677,            0.046822,            0.007855,            0.007855,            0.007855
                  67,            0.035116,             0.01519,            0.056522,             0.38644,             0.51086,              0.4949,              0.3456,             0.03199,           0.0039325,            0.048106,            0.007822,            0.007822,            0.007822
                  68,            0.035452,             0.01618,            0.060324,             0.47616,             0.37612,             0.37488,             0.25904,            0.031869,           0.0041058,             0.05057,            0.007789,            0.007789,            0.007789
