               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04327,             0.04216,           0.0032531,              0.7969,             0.63215,             0.72913,             0.46665,            0.038669,             0.02821,           0.0019325,            0.008845,            0.008845,            0.008845
                  37,            0.043289,            0.042322,           0.0032405,             0.79407,              0.6338,              0.7293,             0.46707,            0.038653,            0.028197,           0.0019296,            0.008812,            0.008812,            0.008812
                  38,            0.043284,            0.042148,           0.0032811,             0.79419,             0.63486,             0.72932,             0.46695,             0.03864,            0.028185,           0.0019272,            0.008779,            0.008779,            0.008779
                  39,            0.043269,            0.042197,           0.0032205,             0.79529,             0.63502,             0.72913,             0.46719,            0.038624,            0.028179,           0.0019269,            0.008746,            0.008746,            0.008746
                  40,            0.043154,            0.042156,           0.0032449,             0.79468,             0.63587,             0.72958,             0.46737,            0.038611,            0.028166,           0.0019257,            0.008713,            0.008713,            0.008713
                  41,            0.043217,            0.042138,           0.0032255,             0.79696,             0.63534,             0.73024,             0.46776,            0.038602,             0.02816,           0.0019235,             0.00868,             0.00868,             0.00868
                  42,            0.043196,            0.042046,           0.0032674,             0.79498,             0.63595,             0.73015,             0.46773,            0.038589,            0.028152,           0.0019215,            0.008647,            0.008647,            0.008647
                  43,            0.043124,            0.042138,           0.0032014,             0.79069,             0.63789,             0.73046,             0.46773,             0.03858,            0.028143,           0.0019181,            0.008614,            0.008614,            0.008614
                  44,            0.043075,            0.042122,           0.0032125,             0.79262,             0.63554,             0.73041,             0.46785,             0.03857,            0.028134,           0.0019169,            0.008581,            0.008581,            0.008581
                  45,            0.043028,            0.042034,           0.0032249,             0.79419,             0.63542,             0.73121,             0.46832,            0.038561,            0.028127,            0.001914,            0.008548,            0.008548,            0.008548
                  46,            0.043048,            0.042162,           0.0032031,             0.79486,              0.6353,             0.73113,             0.46869,            0.038556,            0.028123,           0.0019098,            0.008515,            0.008515,            0.008515
                  47,            0.043033,            0.042126,           0.0031906,             0.80024,             0.63225,             0.73156,             0.46866,            0.038547,            0.028112,           0.0019044,            0.008482,            0.008482,            0.008482
                  48,            0.043052,            0.041848,           0.0032024,             0.80186,             0.63147,             0.73131,             0.46887,            0.038536,            0.028103,           0.0018998,            0.008449,            0.008449,            0.008449
                  49,            0.042932,            0.041913,           0.0032224,             0.80212,             0.62981,             0.73121,               0.469,            0.038531,            0.028094,           0.0018975,            0.008416,            0.008416,            0.008416
                  50,            0.043046,            0.042062,           0.0032128,             0.80159,             0.62884,             0.73113,             0.46893,            0.038525,            0.028086,            0.001896,            0.008383,            0.008383,            0.008383
                  51,              0.0429,            0.041782,           0.0031527,             0.80025,             0.63054,             0.73134,             0.46924,             0.03852,            0.028078,           0.0018933,             0.00835,             0.00835,             0.00835
                  52,            0.042842,            0.041867,           0.0031705,             0.80198,             0.62895,             0.73146,             0.46884,            0.038509,            0.028069,           0.0018922,            0.008317,            0.008317,            0.008317
                  53,            0.042928,            0.042126,           0.0031616,             0.80402,             0.62687,             0.73112,             0.46879,            0.038505,            0.028055,           0.0018909,            0.008284,            0.008284,            0.008284
                  54,            0.042846,              0.0419,           0.0031545,             0.80415,             0.62811,             0.73191,             0.46926,            0.038502,            0.028043,             0.00189,            0.008251,            0.008251,            0.008251
                  55,            0.042814,             0.04186,           0.0031413,             0.80606,             0.62763,             0.73215,             0.46939,            0.038498,            0.028037,           0.0018901,            0.008218,            0.008218,            0.008218
                  56,            0.042863,            0.042037,           0.0031425,             0.80114,             0.63119,             0.73191,             0.46942,             0.03849,            0.028027,           0.0018897,            0.008185,            0.008185,            0.008185
                  57,            0.042857,            0.042059,           0.0031662,             0.79929,             0.63265,             0.73244,             0.46952,            0.038486,            0.028021,            0.001887,            0.008152,            0.008152,            0.008152
                  58,            0.042718,            0.041774,           0.0031478,             0.79801,             0.63229,              0.7324,             0.46963,            0.038484,            0.028013,           0.0018848,            0.008119,            0.008119,            0.008119
                  59,            0.042775,            0.041802,            0.003143,             0.79635,             0.63315,             0.73215,             0.46966,            0.038478,            0.028007,            0.001885,            0.008086,            0.008086,            0.008086
                  60,            0.042774,            0.041847,           0.0031407,             0.79296,             0.63553,              0.7323,             0.47004,            0.038473,            0.028001,           0.0018845,            0.008053,            0.008053,            0.008053
                  61,            0.042766,            0.041731,           0.0031408,             0.79416,             0.63395,             0.73214,             0.46989,            0.038464,            0.027994,           0.0018816,             0.00802,             0.00802,             0.00802
                  62,            0.042754,            0.041794,           0.0031693,             0.79186,             0.63574,             0.73163,             0.46993,            0.038451,             0.02799,           0.0018783,            0.007987,            0.007987,            0.007987
                  63,            0.042603,            0.041663,           0.0031059,             0.79045,              0.6375,             0.73208,             0.47016,            0.038435,            0.027983,           0.0018736,            0.007954,            0.007954,            0.007954
                  64,            0.042656,            0.041685,           0.0031609,             0.79089,             0.63763,             0.73217,              0.4705,            0.038418,            0.027979,           0.0018708,            0.007921,            0.007921,            0.007921
                  65,            0.042713,            0.041963,           0.0031171,             0.79117,             0.63686,             0.73245,             0.47057,            0.038406,             0.02797,           0.0018694,            0.007888,            0.007888,            0.007888
                  66,            0.042602,             0.04174,           0.0031094,              0.7923,             0.63665,             0.73237,             0.47054,            0.038395,            0.027963,           0.0018657,            0.007855,            0.007855,            0.007855
                  67,             0.04261,            0.041745,           0.0031101,             0.79608,             0.63569,              0.7326,             0.47071,            0.038384,             0.02796,           0.0018643,            0.007822,            0.007822,            0.007822
                  68,            0.042606,             0.04193,            0.003092,             0.79448,             0.63641,              0.7329,             0.47103,            0.038374,            0.027954,            0.001866,            0.007789,            0.007789,            0.007789
                  69,            0.042593,            0.041691,           0.0030909,             0.79508,             0.63671,             0.73331,             0.47135,            0.038362,            0.027949,           0.0018641,            0.007756,            0.007756,            0.007756
                  70,            0.042491,            0.041727,           0.0030659,             0.79819,             0.63521,             0.73371,             0.47177,            0.038347,            0.027939,           0.0018639,            0.007723,            0.007723,            0.007723
                  71,             0.04251,             0.04164,            0.003094,             0.79955,             0.63475,             0.73414,             0.47187,            0.038336,            0.027927,           0.0018627,             0.00769,             0.00769,             0.00769
                  72,            0.042439,            0.041578,            0.003088,             0.80016,              0.6345,             0.73485,             0.47227,             0.03832,            0.027925,           0.0018626,            0.007657,            0.007657,            0.007657
                  73,            0.042531,            0.041701,           0.0031008,             0.80024,              0.6347,             0.73428,             0.47252,            0.038306,            0.027913,            0.001859,            0.007624,            0.007624,            0.007624
                  74,            0.042473,             0.04173,           0.0030723,             0.79649,             0.63833,              0.7349,             0.47283,            0.038293,             0.02791,           0.0018577,            0.007591,            0.007591,            0.007591
                  75,            0.042433,            0.041553,           0.0030784,             0.79925,             0.63642,             0.73469,             0.47314,             0.03828,            0.027904,           0.0018568,            0.007558,            0.007558,            0.007558
                  76,            0.042481,            0.041582,           0.0030626,             0.80023,             0.63626,             0.73501,             0.47315,            0.038268,            0.027897,            0.001855,            0.007525,            0.007525,            0.007525
                  77,            0.042431,             0.04163,           0.0030531,              0.7984,             0.63687,             0.73504,             0.47326,            0.038256,            0.027888,           0.0018542,            0.007492,            0.007492,            0.007492
                  78,            0.042431,            0.041663,           0.0030787,             0.79726,             0.63516,             0.73425,             0.47317,            0.038244,             0.02788,           0.0018543,            0.007459,            0.007459,            0.007459
                  79,             0.04242,            0.041587,           0.0030543,             0.79886,             0.63442,             0.73463,             0.47335,            0.038229,            0.027875,            0.001853,            0.007426,            0.007426,            0.007426
                  80,            0.042293,            0.041517,           0.0030418,             0.79941,             0.63407,             0.73443,             0.47329,            0.038218,            0.027871,           0.0018523,            0.007393,            0.007393,            0.007393
                  81,            0.042281,            0.041609,           0.0030121,             0.80137,              0.6323,             0.73387,             0.47372,            0.038206,             0.02787,           0.0018523,             0.00736,             0.00736,             0.00736
                  82,             0.04226,            0.041596,           0.0030354,             0.80044,             0.63373,             0.73393,             0.47374,            0.038199,            0.027864,           0.0018513,            0.007327,            0.007327,            0.007327
                  83,            0.042367,            0.041559,           0.0030246,             0.80416,             0.63124,              0.7343,              0.4741,            0.038192,            0.027859,           0.0018493,            0.007294,            0.007294,            0.007294
                  84,            0.042342,            0.041431,           0.0030545,             0.80367,             0.63222,             0.73428,             0.47449,            0.038186,            0.027852,           0.0018477,            0.007261,            0.007261,            0.007261
                  85,            0.042304,            0.041375,           0.0030481,             0.80447,             0.63282,             0.73429,              0.4746,            0.038176,            0.027848,           0.0018454,            0.007228,            0.007228,            0.007228
                  86,            0.042322,             0.04152,           0.0030496,             0.80418,               0.633,             0.73498,             0.47475,            0.038167,            0.027846,           0.0018412,            0.007195,            0.007195,            0.007195
                  87,             0.04226,            0.041509,           0.0030026,              0.8041,             0.63223,             0.73507,             0.47471,            0.038154,            0.027845,           0.0018385,            0.007162,            0.007162,            0.007162
                  88,            0.042232,            0.041576,           0.0030052,              0.8021,             0.63412,              0.7353,             0.47489,             0.03814,            0.027837,           0.0018358,            0.007129,            0.007129,            0.007129
                  89,            0.042211,            0.041424,           0.0030095,             0.81051,             0.63004,             0.73526,             0.47508,            0.038125,            0.027832,           0.0018344,            0.007096,            0.007096,            0.007096
                  90,            0.042269,             0.04142,           0.0030261,             0.80867,             0.63007,             0.73586,             0.47539,            0.038115,            0.027823,           0.0018326,            0.007063,            0.007063,            0.007063
                  91,            0.042144,            0.041372,           0.0029686,             0.80676,             0.63226,             0.73572,             0.47539,            0.038105,            0.027818,           0.0018317,             0.00703,             0.00703,             0.00703
                  92,            0.042089,            0.041476,           0.0030037,             0.80925,             0.63061,             0.73539,             0.47528,            0.038095,            0.027806,           0.0018304,            0.006997,            0.006997,            0.006997
                  93,            0.042081,            0.041457,           0.0029655,             0.80425,             0.63387,             0.73557,              0.4755,            0.038088,            0.027801,           0.0018287,            0.006964,            0.006964,            0.006964
                  94,            0.042169,            0.041312,           0.0029716,             0.80316,             0.63519,             0.73583,              0.4759,            0.038081,            0.027795,           0.0018268,            0.006931,            0.006931,            0.006931
                  95,            0.042119,            0.041331,           0.0029726,             0.80297,             0.63587,             0.73569,             0.47549,            0.038076,            0.027791,           0.0018252,            0.006898,            0.006898,            0.006898
                  96,            0.042012,            0.041291,           0.0029628,             0.80668,             0.63459,             0.73624,             0.47603,            0.038068,             0.02779,           0.0018219,            0.006865,            0.006865,            0.006865
                  97,            0.042029,            0.041362,           0.0029714,             0.80458,             0.63589,             0.73633,             0.47627,            0.038059,            0.027789,           0.0018183,            0.006832,            0.006832,            0.006832
                  98,             0.04208,            0.041239,           0.0030005,             0.80353,             0.63807,             0.73654,             0.47625,             0.03805,            0.027786,           0.0018178,            0.006799,            0.006799,            0.006799
